,fsq_id,station_num,distance,name,location_address,categorized,closed_bucket
0,50ca5592e4b0cc5bad7c6449,1,557,The Sunflower,65 Union St,Bar,Unsure
1,520080a3498eb97026f147b8,1,811,Established Coffee,54 Hill St,Coffee Shop,Unsure
2,4b64a08bf964a52082c32ae3,1,920,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
3,5a1fedbcbcbf7a12b589f1f9,1,952,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
4,4b06f46df964a5201af422e3,1,907,Black Box,18-22 Hill St,Concert Hall,Unsure
5,4bd352d741b9ef3b0fe3ffe5,1,985,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
6,4c1669aea5eb76b040ccc4b7,1,809,The John Hewitt,51 Donegall St,Restaurant,VeryLikelyOpen
7,52988e8511d22448bd236206,1,950,The Dirty Onion,3 Hill St,Bar,Unsure
8,50b0e62be4b0441cd92ec4f3,1,388,Crumlin Road Gaol,53-55 Crumlin Rd,Museum,VeryLikelyOpen
9,4bb897143db7b7135e65219a,1,988,The Spaniard,3 Skipper St,Bar,LikelyOpen
10,5ae825e4ad910e002c72a002,2,72,Tim Hortons,65 Fountain St,Coffee Shop,VeryLikelyOpen
11,4fc21ef5e4b099ce175faf24,2,126,Home Restaurant,22 Wellington Pl,Restaurant,Unsure
12,4bb3c394715eef3b6bce86bb,2,273,The Garrick Bar,29 Chichester St,Bar,LikelyOpen
13,4b459b93f964a5207d0e26e3,2,468,Ginger Bistro,7-8 Hope St,Restaurant,Unsure
14,4b071106f964a52093f622e3,2,471,Muriel's Cafe Bar,12-14 Church Lane,Bar,LikelyOpen
15,5a1fedbcbcbf7a12b589f1f9,2,539,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
16,4b64a08bf964a52082c32ae3,2,284,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
17,4bd352d741b9ef3b0fe3ffe5,2,351,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
18,4c4647bd342c1b8d3040b689,2,357,The Crown Liquor Saloon,46 Great Victoria St,Restaurant,Unsure
19,5a37b9bd16fa04126cd4ccd7,2,212,Oh Donuts & Coffee,55 Upper Arthur St,Restaurant,VeryLikelyOpen
20,4b65d319f964a5203a022be3,3,692,The Limelight,17 Ormeau Ave,Bar,LikelyOpen
21,4b7554a1f964a520ac062ee3,3,203,Boojum,73 Botanic Ave,Restaurant,VeryLikelyOpen
22,4b459b93f964a5207d0e26e3,3,593,Ginger Bistro,7-8 Hope St,Restaurant,Unsure
